video_id,author,text,like_count,published_at,fetched_at,cleaned_text
N4Dvapjqnyw,@LaibaFatima-w4i,Instagram ke video par music copyright aay to kya kre......iska koi solution bataye na please sir,0,2025-10-27T16:11:47Z,2025-11-08T20:43:16.559194,instagram video par music copyright aay kya kre iska koi solution bataye please sir
N4Dvapjqnyw,@PencileArt90,Sir instagram pe schedule post ka options nahi aa raha hai,0,2025-10-27T15:56:37Z,2025-11-08T20:43:16.559196,sir instagram schedule post option nahi raha hai
N4Dvapjqnyw,@Devphougat,This is the man with zero% haters with 100% kindness😊😊,0,2025-10-27T15:55:37Z,2025-11-08T20:43:16.559199,man zero hater kindness
N4Dvapjqnyw,@srikanthdusija4048,Mujhe yeh feature Nai Mila abhi Tak,0,2025-10-27T15:20:37Z,2025-11-08T20:43:16.559201,mujhe yeh feature nai mila abhi tak
N4Dvapjqnyw,@allrounde2619,Mere ek I&#39;d me collaboration nahi ho raha hai plz,0,2025-10-27T14:58:26Z,2025-11-08T20:43:16.559205,mere collaboration nahi raha hai plz
N4Dvapjqnyw,@azeemtariasutariaTarasutariaaz,Thank you paji 😊❤❤,0,2025-10-27T14:56:09Z,2025-11-08T20:43:16.559207,thank paji
N4Dvapjqnyw,@maazali6352,Kashmir on Top🙌🏻❤️,0,2025-10-27T14:45:17Z,2025-11-08T20:43:16.559210,kashmir top
N4Dvapjqnyw,@fun4uf-04,Thanks for information bhaiji❤,1,2025-10-27T14:35:05Z,2025-11-08T20:43:16.559212,thanks information bhaiji
N4Dvapjqnyw,@DhananjayNayak-q4l,Mereko app perfect lagte ho iss mamle main,0,2025-10-27T14:34:03Z,2025-11-08T20:43:16.559214,mereko app perfect lagte iss mamle main
N4Dvapjqnyw,@jeonmafiaking,Love you paji ❤😂,0,2025-10-27T14:33:31Z,2025-11-08T20:43:16.559217,love paji
N4Dvapjqnyw,@Haseeb-U-Rehman-x9v3x,Meherbani Sardar Sahab❤😊,0,2025-10-27T14:33:19Z,2025-11-08T20:43:16.559219,meherbani sardar sahab
N4Dvapjqnyw,@RAVAN-GAMING-73,Main aapka bahut bada fan hun I love you ❤❤❤❤❤❤❤❤❤,0,2025-10-27T14:31:45Z,2025-11-08T20:43:16.559221,main aapka bahut bada fan hun love
N4Dvapjqnyw,@Arpit77-z2z,Thank you paji🎉,1,2025-10-27T14:31:18Z,2025-11-08T20:43:16.559223,thank paji
