video_id,author,text,like_count,published_at,fetched_at
OqRfZjdqpO8,@HanumanagoudaNaya,Feck,0,2025-10-27T15:20:37Z,2025-11-20T20:26:28.319759
OqRfZjdqpO8,@MohanRajMoHanRaj-t7f,Noo bro 😢,0,2025-10-12T14:44:21Z,2025-11-20T20:26:28.320148
OqRfZjdqpO8,@veluc6079,Thividiya paiya ommala unna vai la aana pollu,0,2025-09-13T09:23:42Z,2025-11-20T20:26:28.320157
OqRfZjdqpO8,@RossySharma-m,Nice,5,2025-07-24T03:12:45Z,2025-11-20T20:26:28.320162
OqRfZjdqpO8,@hasnengamer2396,Fir vapis chahiye to aayga bhai???,5,2023-11-29T05:24:08Z,2025-11-20T20:26:28.320166
AXVDpNYLR8o,@Divyanshbaba-e3z,Kuch samjh me nahi aya,1,2025-11-17T17:35:15Z,2025-11-20T20:26:29.709062
AXVDpNYLR8o,@MohanlalPrajapati-v9f,Nice,1,2025-11-17T11:34:45Z,2025-11-20T20:26:29.709081
AXVDpNYLR8o,@SakibulHosein-z2v,🥰🥰,1,2025-11-16T05:52:15Z,2025-11-20T20:26:29.709086
AXVDpNYLR8o,@MdTofikansari-w8j,Jhooth hai bhai😂😂😂😂,1,2025-11-14T08:13:15Z,2025-11-20T20:26:29.709090
AXVDpNYLR8o,@MdJahangirq7c,❤❤❤❤❤,0,2025-11-13T22:25:55Z,2025-11-20T20:26:29.709093
AXVDpNYLR8o,@AbhijithAbi-m7e,Poda thelleyoli,0,2025-11-09T11:16:51Z,2025-11-20T20:26:29.709097
AXVDpNYLR8o,@SanjyKumar-g4t,Nahi hota hiii,0,2025-10-29T13:16:43Z,2025-11-20T20:26:29.709101
AXVDpNYLR8o,@pahadokuraibashi,Twri ma ko chud,0,2025-10-25T17:18:34Z,2025-11-20T20:26:29.709105
AXVDpNYLR8o,@sunepao7040,Why why lol video,0,2025-10-22T16:23:40Z,2025-11-20T20:26:29.709108
AXVDpNYLR8o,@RuwelAhmed-r3k7y,Tumar na nir biya,0,2025-10-17T16:45:08Z,2025-11-20T20:26:29.709112
AXVDpNYLR8o,@AsmaTaj-b6q,Feck hai bhai kuch bhi nai hora hai,0,2025-10-06T01:16:37Z,2025-11-20T20:26:29.709116
AXVDpNYLR8o,@MithunStudio-fj2yl,Thnku❤❤❤❤,4,2025-10-05T06:02:53Z,2025-11-20T20:26:29.709120
AXVDpNYLR8o,@Sagacious-o3s,It is not working.,1,2025-10-04T17:20:17Z,2025-11-20T20:26:29.709124
AXVDpNYLR8o,@Badboy0835,Mere me option hi nhi hai live ka😅😂🤦‍♂️,0,2025-10-02T15:16:33Z,2025-11-20T20:26:29.709127
AXVDpNYLR8o,@SanjeshJatav-q6y,❤❤❤,0,2025-10-01T22:03:30Z,2025-11-20T20:26:29.709131
AXVDpNYLR8o,@SanjeshJatav-q6y,❤❤❤,0,2025-10-01T22:03:25Z,2025-11-20T20:26:29.709135
AXVDpNYLR8o,@SoumyaranjanNayak-o5i,Maghia michhua giha,0,2025-09-30T09:29:25Z,2025-11-20T20:26:29.709139
AXVDpNYLR8o,@SushilaNishad-i5n,Khuch nhi hota he,1,2025-09-29T13:31:49Z,2025-11-20T20:26:29.709143
AXVDpNYLR8o,@SushilaNishad-i5n,Ye sab juth he,0,2025-09-29T13:31:40Z,2025-11-20T20:26:29.709146
AXVDpNYLR8o,@pinkykumari-mu5hq,थैंक यू सो मच सर 😊🙏,0,2025-09-27T20:09:52Z,2025-11-20T20:26:29.709149
AXVDpNYLR8o,@JahagirSk-v4y,thank you so much ❤❤ ho gaya hai ❤❤🎉🎉,0,2025-09-27T10:34:29Z,2025-11-20T20:26:29.709152
AXVDpNYLR8o,@roushanramjaane4019,Ho gya bhai 😊😊😊😊,6,2025-09-25T11:29:59Z,2025-11-20T20:26:29.709156
AXVDpNYLR8o,@Raj-s8n3z,400,1,2025-09-24T18:15:17Z,2025-11-20T20:26:29.709159
AXVDpNYLR8o,@Raj-s8n3z,Ha❤❤,3,2025-09-24T18:14:52Z,2025-11-20T20:26:29.709163
AXVDpNYLR8o,@Ravinahurhey7686,Ha bhai 😈,0,2025-09-23T14:12:30Z,2025-11-20T20:26:29.709167
AXVDpNYLR8o,@Henry345yt,"Gadura channel,😂😂",0,2025-09-19T14:31:26Z,2025-11-20T20:26:29.709171
AXVDpNYLR8o,@TanushJarngal,Is ka matlab ha bhi samaj nhai aaya,0,2025-09-10T13:56:31Z,2025-11-20T20:26:29.709174
